Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Yehyeon,Kim Yehyeon,김예현,GIDONGDAE,South Korea,male_idols/Yehyeon_KimYehyeon.webp
Wonjin,Won Jin,원진,GIDONGDAE,South Korea,male_idols/Wonjin_WonJin.png
Youngho,Noh Youngho,노영호,SIGNAL,South Korea,male_idols/Youngho_NohYoungho.png
Gihwan,Kim Gihwan,김기환,SIGNAL,South Korea,male_idols/Gihwan_KimGihwan.png
Kyuhwan,Lee Kyuhwan,이규환,SIGNAL,South Korea,male_idols/Kyuhwan_LeeKyuhwan.png
Bokeun,Kim Bokeun,김복은,SIGNAL,South Korea,male_idols/Bokeun_KimBokeun.png
Kain,Bang Junho,방준호,ARGON,South Korea,male_idols/Kain_BangJunho.webp
Haneul,Lee Haneul,이하늘,ARGON,South Korea,male_idols/Haneul_LeeHaneul.jpeg
Roel,Kim Sunho,김선호,ARGON,South Korea,male_idols/Roel_KimSunho.webp
Yeoun,Lee Kyeongbin,이경빈,ARGON,South Korea,male_idols/Yeoun_LeeKyeongbin.jpeg
Gon,Kim Seongjung,김성중,ARGON,South Korea,male_idols/Gon_KimSeongjung.png
Jaeun,Ha Jaeun,한재운,ARGON,South Korea,male_idols/Jaeun_HaJaeun.webp
Kookheon,Kim Kookheon,김국헌,B.O.Y,South Korea,male_idols/Kookheon_KimKookheon.webp
Yuvin,Song Yuvin,송유빈,B.O.Y,South Korea,male_idols/Yuvin_SongYuvin.png
Kim Yoon,Kim Seongsu,김성수,DUSTIN,South Korea,male_idols/KimYoon_KimSeongsu.jpeg
Siu,Hwang Inseok,황인석,DUSTIN,South Korea,male_idols/Siu_HwangInseok.webp
Daon,Ahn Seonil,안선일,DUSTIN,South Korea,male_idols/Daon_AhnSeonil.jpeg
Seunghan,Lee Seunghan,이승한,DUSTIN,South Korea,male_idols/Seunghan_LeeSeunghan.jpeg
Hwani,Jo Sihyeon,조시환,DUSTIN,South Korea,male_idols/Hwani_JoSihyeon.jpeg
JJ,Jun Jihyeok,전진혁,DUSTIN,South Korea,male_idols/JJ_JunJihyeok.png
BEL,Choi Sunghoon,최성훈,DUSTIN,South Korea,male_idols/BEL_ChoiSunghoon.png
Love,Park Jisung,박지성,,South Korea,male_idols/Love_ParkJisung.jpeg
KB,Shin Kyubin,신규빈,OnlyOneOf,South Korea,male_idols/KB_ShinKyubin.jpeg
Junji,Kim Junhyung,김준형,OnlyOneOf,South Korea,male_idols/Junji_KimJunhyung.jpeg
Yoojung,Lee Taeyeop,이태엽,OnlyOneOf,South Korea,male_idols/Yoojung_LeeTaeyeop.jpeg
Rie,Lee Seungho,이성호,OnlyOneOf,South Korea,male_idols/Rie_LeeSeungho.jpeg
Mill,Lee Yongsoo,이용수,OnlyOneOf,South Korea,male_idols/Mill_LeeYongsoo.jpeg
Nine,Jung Wookjin,정욱진,OnlyOneOf,South Korea,male_idols/Nine_JungWookjin.jpeg
Castle J,Son Sangjoon,손성준,MCND,South Korea,male_idols/CastleJ_SonSangjoon.jpeg
Bic,Nam Seungmin,남승민,MCND,South Korea,male_idols/Bic_NamSeungmin.png
Minjae,Song Minjae,송민재,MCND,South Korea,male_idols/Minjae_SongMinjae.png
Huijun,Noh Huijun,노휘준,MCND,South Korea,male_idols/Huijun_NohHuijun.webp
Win,Bang Junhyuk,방준혁,MCND,South Korea,male_idols/Win_BangJunhyuk.png
Changgyu,Song Changgyu,송창규,UNVS,South Korea,male_idols/Changgyu_SongChanggyu.png
YY,Kim Moonyong,김문용,UNVS,South Korea,male_idols/YY_KimMoonyong.jpeg
Jen,Kim Yehyeon,김예현,UNVS,South Korea,male_idols/Jen_KimYehyeon.jpeg
Jun H.,Im Joonhyun,임준현,UNVS,South Korea,male_idols/JunH._ImJoonhyun.png
Eunho,Shin Donggeun,신동근,UNVS,South Korea,male_idols/Eunho_ShinDonggeun.png
Jinwoo,Lee Jinwoo,이진우,Ghost9,South Korea,male_idols/Jinwoo_LeeJinwoo.jpeg
Taesung,Lee Taesung,이태승,,South Korea,male_idols/Taesung_LeeTaesung.jpeg
Woojin,Lee Woojin,이우진,Ghost9,South Korea,male_idols/Woojin_LeeWoojin.jpeg
Serim,Park Serim,박세림,CRAVITY,South Korea,male_idols/Serim_ParkSerim.jpeg
Allen,Allen Ma,앨런 마,CRAVITY,USA,male_idols/Allen_AllenMa.jpeg
Jungmo,Koo Jungmo,구정모,CRAVITY,South Korea,male_idols/Jungmo_KooJungmo.jpeg
Woobin,Seo Woobin,서우빈,CRAVITY,South Korea,male_idols/Woobin_SeoWoobin.jpeg
Wonjin,Ham Wonjin,함원진,CRAVITY,South Korea,male_idols/Wonjin_HamWonjin.jpeg
Taeyoung,Kim Taeyoung,김태영,CRAVITY,South Korea,male_idols/Taeyoung_KimTaeyoung.jpeg
Seongmin,Ahn Seongmin,안성민,CRAVITY,South Korea,male_idols/Seongmin_AhnSeongmin.jpeg
Chihoon,Choi Chihoon,최치훈,TOO,South Korea,male_idols/Chihoon_ChoiChihoon.jpeg
Donggeon,Song Donggeon,송동건,TOO,South Korea,male_idols/Donggeon_SongDonggeon.jpeg
Chan,Jo Chanhyuk,조찬혁,TOO,South Korea,male_idols/Chan_JoChanhyuk.jpeg
Jisu,Choi Jisu,최지수,TOO,South Korea,male_idols/Jisu_ChoiJisu.jpeg
Minsu,Kim Minsu,김민수,TOO,South Korea,male_idols/Minsu_KimMinsu.jpeg
Jaeyun,Lee Jaeyun,이재윤,TOO,South Korea,male_idols/Jaeyun_LeeJaeyun.webp
J.YOU,Kim Jaeyu,김제유,TOO,South Korea,male_idols/J.YOU_KimJaeyu.jpeg
Kyungho,Jang Kyungho,장경호,TOO,South Korea,male_idols/Kyungho_JangKyungho.jpeg
Seongmin,Oh Sungmin,오성민,ONE PACT,South Korea,male_idols/Seongmin_OhSungmin.jpeg
Woonggi,Cha Woonggi,차웅기,TOO,South Korea,male_idols/Woonggi_ChaWoonggi.jpeg
Seokhwa,Kang Seokhwa,강석화,WEi,South Korea,male_idols/Seokhwa_KangSeokhwa.webp
Rano,Byun Yongseop,변용섭,E'LAST,South Korea,male_idols/Rano_ByunYongseop.png
Won Hyuk,Won Hyuk,원혁,E'LAST,South Korea,male_idols/WonHyuk_WonHyuk.png
Wonjun,Lee Wonjun,이원준,E'LAST,South Korea,male_idols/Wonjun_LeeWonjun.jpeg
Choi In,Choi In,최인,E'LAST,South Korea,male_idols/ChoiIn_ChoiIn.jpeg
Seungyeop,Choi Seungyeop,최승엽,E'LAST,South Korea,male_idols/Seungyeop_ChoiSeungyeop.jpeg
Baekgyeul,Baek Sunwoo,백결,E'LAST,South Korea,male_idols/Baekgyeul_BaekSunwoo.jpeg
