Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Minha,Park Minha,박민하 ,,South Korea,female_idols/Minha_ParkMinha.png
Sojin,Jo Sojin,조소진,9Muses,South Korea,female_idols/Sojin_JoSojin.jpeg
Keumjo,Lee Keumjo,이금조,9Muses,South Korea,female_idols/Keumjo_LeeKeumjo.png
Sowon,Kim Sojung,김소정,Gfriend,South Korea,female_idols/Sowon_KimSojung.jpeg
Yerin,Jung Yerin,정예린,Gfriend,South Korea,female_idols/Yerin_JungYerin.jpeg
Eunha,Jung Eunbi,정은비,VIVIZ,South Korea,female_idols/Eunha_JungEunbi.jpeg
Yuju,Choi Yuna,최유나,Gfriend,South Korea,female_idols/Yuju_ChoiYuna.jpeg
SinB,Hwang Eunbi,황은비 ,VIVIZ,South Korea,female_idols/SinB_HwangEunbi.jpeg
Umji,Kim Yewon,김예원,VIVIZ,South Korea,female_idols/Umji_KimYewon.jpeg
Victoria,Song Qian,송치엔 ,f(x),China,female_idols/Victoria_SongQian.jpeg
Amber,Amber Josephine Liu,엠버 조세핀 리우,f(x),USA,female_idols/Amber_AmberJosephineLiu.jpeg
Luna,Park Sunyoung,박선영,f(x),South Korea,female_idols/Luna_ParkSunyoung.jpeg
Krystal,Krystal Jung,크리스탈 정,f(x),South Korea,female_idols/Krystal_KrystalJung.png
Irene,Bae Juhyun,배주현 ,Red Velvet,South Korea,female_idols/Irene_BaeJuhyun.png
Seulgi,Kang Seulgi,강슬기,Red Velvet,South Korea,female_idols/Seulgi_KangSeulgi.jpeg
Wendy,Son Seunghwan,손승완,Red Velvet,South Korea,female_idols/Wendy_SonSeunghwan.png
Joy,Park Sooyoung,박수영,Red Velvet,South Korea,female_idols/Joy_ParkSooyoung.jpeg
Yeri,Kim Yerim,김예림,Red Velvet,South Korea,female_idols/Yeri_KimYerim.jpeg
BoA,Kwon Boa,권보아,,South Korea,female_idols/BoA_KwonBoa.png
Ailee,Lee Yejin,이예진,,South Korea,female_idols/Ailee_LeeYejin.jpeg
G.NA,Gina Jane Choi,최지나,,Canada,female_idols/G.NA_GinaJaneChoi.jpeg
Taeha,Yoo Taeha,유태하,,South Korea,female_idols/Taeha_YooTaeha.png
Seoyul,Seo Yuri,서유리,Berry Good,South Korea,female_idols/Seoyul_SeoYuri.jpeg
Daye,Kim Hyunjung,김현정,Berry Good,South Korea,female_idols/Daye_KimHyunjung.jpeg
Sehyung,Kang Sehyung,강세형,Berry Good,South Korea,female_idols/Sehyung_KangSehyung.webp
Gowoon,Moon Yujeong,문유정,Berry Good,South Korea,female_idols/Gowoon_MoonYujeong.png
Hyangsuk,Lee Hyangsuk,이향숙 ,2EYES,South Korea,female_idols/Hyangsuk_LeeHyangsuk.png
Daeun,Jung Daeun,정다은,2EYES,South Korea,female_idols/Daeun_JungDaeun.png
Dasom,Lee Dasom,이다솜,2EYES,South Korea,female_idols/Dasom_LeeDasom.png
Hyerin,Kim Hyerin,김혜린,2EYES,South Korea,female_idols/Hyerin_KimHyerin.png
IU,Lee Jieun,이지은,,South Korea,female_idols/IU_LeeJieun.jpeg
Jei,Kim Jinhee,김진희,Fiestar,South Korea,female_idols/Jei_KimJinhee.png
Cao Lu,Cao Lu,차오루,Fiestar,China,female_idols/Cao Lu_CaoLu.jpeg
Linzy,Im Minji,임민지,Fiestar,South Korea,female_idols/Linzy_ImMinji.png
Hyemi,Kim Hyemi,김혜미,Fiestar,South Korea,female_idols/Hyemi_KimHyemi.jpeg
Yezi,Lee Yeji,이예지,Fiestar,South Korea,female_idols/Yezi_LeeYeji.png
Hana,Shin Bora,신보라,Gugudan,South Korea,female_idols/Hana_ShinBora.jpeg
Mimi,Jung Mimi,정미미,Gugudan,South Korea,female_idols/Mimi_JungMimi.webp
Haebin,Han Haebin,한해빈,Gugudan,South Korea,female_idols/Haebin_HanHaebin.png
Nayoung,Kim Nayoung,김나영,Gugudan,South Korea,female_idols/Nayoung_KimNayoung.webp
Sejeong,Kim Sejeong,김세정,Gugudan,South Korea,female_idols/Sejeong_KimSejeong.jpeg
Sally,Liu Xiening,류셰닝,Gugudan,China,female_idols/Sally_LiuXiening.jpeg
Soyee,Jang Sojin,장소진,Gugudan,South Korea,female_idols/Soyee_JangSojin.jpeg
Mina,Kang Mina,강미나,Gugudan,South Korea,female_idols/Mina_KangMina.jpeg
Hyeyeon,Cho Hyeyeon,조혜연,,South Korea,female_idols/Hyeyeon_ChoHyeyeon.jpeg
Hyojung,Choi Hyojung,최효정,Oh My Girl,South Korea,female_idols/Hyojung_ChoiHyojung.jpeg
