Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Kyuhyuk,Shim Kyuhyuk,심규혁,Hot Blood Youth,South Korea,male_idolsV2/Kyuhyuk_ShimKyuhyuk.jpeg
Jisan,Choi Jinsang,최지상,Hot Blood Youth,South Korea,male_idolsV2/Jisan_ChoiJinsang.jpeg
Taeeun,Moon Taeeun,문태은,IM,South Korea,male_idolsV2/Taeeun_MoonTaeeun.png
Giseok,Jun Giseok,정기석,IM,South Korea,male_idolsV2/Giseok_JunGiseok.png
Hangyul,Lee Hangyul,이한결,BAE173,South Korea,male_idolsV2/Hangyul_LeeHangyul.jpeg
Gijung,Kim Gijung,김기중,IM,South Korea,male_idolsV2/Gijung_KimGijung.webp
Kun,Qian Kun,첸쿤,NCT,China,male_idolsV2/Kun_QianKun.png
Jungwoo,Kim Jungwoo,김정우,NCT,South Korea,male_idolsV2/Jungwoo_KimJungwoo.png
Lucas,Wong Junghei,웡육헤이,,Hong Kong,male_idolsV2/Lucas_WongJunghei.png
Sangyeon,Lee Sangyeon,이상연,The Boyz,South Korea,male_idolsV2/Sangyeon_LeeSangyeon.jpeg
Jacob,Bae Joonyoung,배준영,The Boyz,South Korea,male_idolsV2/Jacob_BaeJoonyoung.jpeg
Younghoon,Kim Younghoon,김영훈,The Boyz,South Korea,male_idolsV2/Younghoon_KimYounghoon.jpeg
Hyunjae,Lee Jaehyun,이재현,The Boyz,South Korea,male_idolsV2/Hyunjae_LeeJaehyun.png
Juyeon,Lee Juyeon,이주연,The Boyz,South Korea,male_idolsV2/Juyeon_LeeJuyeon.png
Kevin,Moon Hyungseo,문형서,The Boyz,Canada,male_idolsV2/Kevin_MoonHyungseo.jpeg
New,Choi Chanhee,최찬희,The Boyz,South Korea,male_idolsV2/New_ChoiChanhee.jpeg
Q,Ji Changmin,지창민,The Boyz,South Korea,male_idolsV2/Q_JiChangmin.jpeg
Juhaknyeon,Ju Haknyeon,주학년,The Boyz,South Korea,male_idolsV2/Juhaknyeon_JuHaknyeon.jpeg
Hwall,Heo Hyunjoon,허현준,,South Korea,male_idolsV2/Hwall_HeoHyunjoon.jpeg
Sunwoo,Kim Sunwoo,김선우,The Boyz,South Korea,male_idolsV2/Sunwoo_KimSunwoo.jpeg
Eric,Son Youngjae,손영재,The Boyz,South Korea,male_idolsV2/Eric_SonYoungjae.jpeg
Bang Chan,Bang Chan,방찬,Stray Kids,Australia,male_idolsV2/BangChan_BangChan.jpeg
Woojin,Kim Woojin,김우진,,South Korea,male_idolsV2/Woojin_KimWoojin.png
Lee Know,Lee Minho,이민호,Stray Kids,South Korea,male_idolsV2/LeeKnow_LeeMinho.jpeg
