Stage_Name, Full_Name, Korean_Name, Group, Country
Haru,Han Sangsook,한상숙,Gate9,South Korea
Kady,Gu Dokyoung,구도경,Gate9,South Korea
Gaga,Lee Soobin,이수빈,Gate9,South Korea
Juju,Park Juyoung,박주영,Gate9,South Korea
Taera,Lee Yujin,이유진,Gate9,South Korea
Yoon,Ji Hayoon,지하윤,Gate9,South Korea
Vivian,Park Sunghee,박성희,Gate9,South Korea
Chuu,Kim Jiwoo,김지우,,South Korea
Gowon,Park Chaewon,박채원,Loossemble,South Korea
Saerom,Lee Saerom,이새롬,fromis_9,South Korea
Hayoung,Song Hayoung,송하영,fromis_9,South Korea
Gyuri,Jang Gyuri,장규리,,South Korea
Jiwon,Park Jiwon,박지원,fromis_9,South Korea
Jisun,Roh Jisun,노지선,fromis_9,South Korea
Seoyeon,Lee Seoyeon,이서연,fromis_9,South Korea
Chaeyoung,Lee Chaeyoung,이채영,fromis_9,South Korea
Nakyung,Lee Nakyung,이나경,fromis_9,South Korea
Jiheon,Baek Jiheon,백지헌,fromis_9,South Korea
Xeheun,Lee Seheun,이세흔,Girlkind,South Korea
Medic Jin,Bae Yujin,배유진,Girlkind,South Korea
JK,Kim Jikang,김지강,Girlkind,South Korea
Sun J,Jeon Heesun,전희선,Girlkind,South Korea
Ellyn,Bang Sunhee,방선희,Girlkind,South Korea
Haena,Lee Haena,이해나,Matilda,South Korea
Dan-a,Park Seungyeon,박승연,Matilda,South Korea
Semmi,Oh Heesun,오희선,Matilda,South Korea
Saebyeol,Han Saebyeol,한새별,Matilda,South Korea
Yua,Mikami Yua,미카미 유아,Honey Popcorn,Japan
Miko,Matsuda Miko,마츠다 미코,Honey Popcorn,Japan
Moko,Sakura Moko,사쿠라 모코,Honey Popcorn,Japan
Hyeju,Son Hyeju,손혜주,Loossemble,South Korea
Kriesha Chu,Kriesha Ziskind Teo Tiu,크리샤 지스킨드 테오 티우,,Philippines
JOO,Jung Minjoo,정민주,,South Korea
Miyeon,Jo Miyeon,조미연,(G)I-DLE,South Korea
Minnie,Nicha Yontararak,니차 욘타라락,(G)I-DLE,Thailand
Soyeon,Jeon Soyeon,전소연,(G)I-DLE,South Korea
Soojin,Seo Soojin,서수진,,South Korea
Yuqi,Song Yuqi,송우기,(G)I-DLE,China
Shuhua,Yeh Shuhua,예슈화,(G)I-DLE,Taiwan
NC.A,Im Soeun,임소은,UNI.T,South Korea
Suji,Lee Suji,이수지,UNI.T,South Korea
Yoonjo,Shin Yoonjo,신윤조,UNI.T,South Korea
May,Jeong Chaeyoung,정채영,,South Korea
Terry,Han Dasom,한다솜,,South Korea
Minji,Kim Minji,김민지,Busters,South Korea
Minjung,Cha Minjung,차민정,,South Korea
Jisoo,Jung Jisoo,정지수,Busters,South Korea
Chaeyeon,Kim Chaeyeon,김채연,tripleS,South Korea
Hyungseo,Myeong Hyeongseo,명형서,CLASS:y,South Korea
Eunjin,Moon Eunjin,문은진,Highteen,South Korea
Hyejoo,Park Hyunjoo,박현주,Highteen,South Korea
Hyebin,Im Hyebin,임혜빈,Highteen,South Korea
Sea,Kim Sujeong,김수정,Highteen,South Korea
Miya,Miyauchi Haruka,미야우치 하루카,GWSN,Japan
Seokyoung,Kim Seokyung,김서경,GWSN,South Korea
Seoryoung,Lee Seoryung,이서령,GWSN,South Korea
Anne,Lee Seoyoung,이서영,GWSN,South Korea
Minju,Kang Minjoo,강민주,GWSN,South Korea
Soso,Wang Chingyi,왕징이,GWSN,Taiwan
Lena,Kang Rena,강레나,GWSN,South Korea
Saebom,Kim Saerok,김새록,NATURE,South Korea
Aurora,Yang Lan,양안,NATURE,China
Lu,Im Hayoung,임하영,NATURE,South Korea
Chaebin,Choi Yoobin,최유빈,NATURE,South Korea
Gaga,Li Jia Jia,리 지아 지아,,China
Haru,Abe Haruno,아베 하루노,NATURE,Japan
Uchae,Yu Hyejun,유혜준,NATURE,South Korea
Sunshine,Kim Minjung,김민정,NATURE,South Korea
