Stage_Name, Full_Name, Korean_Name, Group, Country
Jaeun,Ha Jaeun,한재운,ARGON,South Korea
Kookheon,Kim Kookheon,김국헌,B.O.Y,South Korea
Yuvin,Song Yuvin,송유빈,B.O.Y,South Korea
Kim Yoon,Kim Seongsu,김성수,DUSTIN,South Korea
Siu,Hwang Inseok,황인석,DUSTIN,South Korea
Daon,Ahn Seonil,안선일,DUSTIN,South Korea
Seunghan,Lee Seunghan,이승한,DUSTIN,South Korea
Hwani,Jo Sihyeon,조시환,DUSTIN,South Korea
JJ,Jun Jihyeok,전진혁,DUSTIN,South Korea
BEL,Choi Sunghoon,최성훈,DUSTIN,South Korea
Love,Park Jisung,박지성,,South Korea
KB,Shin Kyubin,신규빈,OnlyOneOf,South Korea
Junji,Kim Junhyung,김준형,OnlyOneOf,South Korea
Yoojung,Lee Taeyeop,이태엽,OnlyOneOf,South Korea
Rie,Lee Seungho,이성호,OnlyOneOf,South Korea
Mill,Lee Yongsoo,이용수,OnlyOneOf,South Korea
Nine,Jung Wookjin,정욱진,OnlyOneOf,South Korea
Castle J,Son Sangjoon,손성준,MCND,South Korea
Bic,Nam Seungmin,남승민,MCND,South Korea
Minjae,Song Minjae,송민재,MCND,South Korea
Huijun,Noh Huijun,노휘준,MCND,South Korea
Win,Bang Junhyuk,방준혁,MCND,South Korea
Changgyu,Song Changgyu,송창규,UNVS,South Korea
YY,Kim Moonyong,김문용,UNVS,South Korea
Jen,Kim Yehyeon,김예현,UNVS,South Korea
Jun H.,Im Joonhyun,임준현,UNVS,South Korea
Eunho,Shin Donggeun,신동근,UNVS,South Korea
Jinwoo,Lee Jinwoo,이진우,Ghost9,South Korea
Taesung,Lee Taesung,이태승,,South Korea
Woojin,Lee Woojin,이우진,Ghost9,South Korea
Serim,Park Serim,박세림,CRAVITY,South Korea
Allen,Allen Ma,앨런 마,CRAVITY,USA
Jungmo,Koo Jungmo,구정모,CRAVITY,South Korea
Woobin,Seo Woobin,서우빈,CRAVITY,South Korea
Wonjin,Ham Wonjin,함원진,CRAVITY,South Korea
Taeyoung,Kim Taeyoung,김태영,CRAVITY,South Korea
Seongmin,Ahn Seongmin,안성민,CRAVITY,South Korea
Chihoon,Choi Chihoon,최치훈,TOO,South Korea
Donggeon,Song Donggeon,송동건,TOO,South Korea
Chan,Jo Chanhyuk,조찬혁,TOO,South Korea
Jisu,Choi Jisu,최지수,TOO,South Korea
Minsu,Kim Minsu,김민수,TOO,South Korea
Jaeyun,Lee Jaeyun,이재윤,TOO,South Korea
J.YOU,Kim Jaeyu,김제유,TOO,South Korea
Kyungho,Jang Kyungho,장경호,TOO,South Korea
Seongmin,Oh Sungmin,오성민,ONE PACT,South Korea
Woonggi,Cha Woonggi,차웅기,TOO,South Korea
Seokhwa,Kang Seokhwa,강석화,WEi,South Korea
Rano,Byun Yongseop,변용섭,E'LAST,South Korea
Won Hyuk,Won Hyuk,원혁,E'LAST,South Korea
Wonjun,Lee Wonjun,이원준,E'LAST,South Korea
Choi In,Choi In,최인,E'LAST,South Korea
Seungyeop,Choi Seungyeop,최승엽,E'LAST,South Korea
Baekgyeul,Baek Sunwoo,백결,E'LAST,South Korea
Romin,Choi Youngmin,최영민,E'LAST,South Korea
Yejun,Oh Yejun,오예준,E'LAST,South Korea
Minho,Lee Minho,이민호,MY.st,South Korea
Juntae,Kim Juntae,김준태,MY.st,South Korea
Woncheol,Jung Woncheol,정원철,MY.st,South Korea
Woojin,Lee Woojin,이우진,MY.st,South Korea
Keonwoo,Kim Keonwoo,김건우,MY.st,South Korea
Junghwan,So Junghwan,소정환,Treasure,South Korea
Lee Hyeop,Lee Hyeop,이협,DRIPPIN,South Korea
Yunseong,Hwang Yunseong,황윤성,DRIPPIN,South Korea
Changuk,Joo Changuk,주창욱,DRIPPIN,South Korea
Dongyun,Kim Dongyun,김동윤,DRIPPIN,South Korea
Minseo,Kim Minseo,김민서,DRIPPIN,South Korea
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,DRIPPIN,Germany
Dongjun,Hwang Dongjun,황동준,,South Korea
Junhyung,Son Junhyung,손준형,Ghost9,South Korea
Kangsung,Lee Kangsung,이강성,Ghost9,South Korea
Junseong,Choi Junseong,최준성,Ghost9,South Korea
Prince,Pasidh Vataniyapromote,파싯 와타니야쁘라못,Ghost9,Thailand
Keeho,Yoon Kiho,윤기호,P1Harmony,Canada
Jiung,Choi Jiwoong,최지웅,P1Harmony,South Korea
Intak,Hwang Intak,황인탁,P1Harmony,South Korea
Soul,Haku Shota,하쿠 쇼타,P1Harmony,Japan
Jongseob,Kim Jongseob,김종섭,P1Harmony,South Korea
Jungwon,Yang Jungwon,양정원,ENHYPEN,South Korea
Jay,Park Jongsung,박종성,ENHYPEN,South Korea
Jake,Shim Jaeyoon,심재윤,ENHYPEN,South Korea
Ni-Ki,Nishimura Riki,니시무라 리키,ENHYPEN,Japan
Heeseung,Lee Heeseung,이희승,ENHYPEN,South Korea
Sunghoon,Park Sunghoon,박성훈,ENHYPEN,South Korea
Sunoo,Kim Sunwoo,김선우,ENHYPEN,South Korea
Shin,Kim Suhyun,김수현,Ghost9,South Korea
Theo,Choi Taeyang,최태양,P1Harmony,South Korea
E-Chan,Lee Changmin,이창민,DKB,South Korea
D1,Jang Dongil,장동일,DKB,South Korea
Teo,Jang Sungsik,장성식,DKB,South Korea
GK,Kim Kwanghyun,김광현,DKB,South Korea
Heechan,Yang Heechan,양희찬,DKB,South Korea
Lune,Jung Sungmin,정성민,DKB,South Korea
Junseo,Hwang Junseo,황준서,DKB,South Korea
Yuku,Amanumu Yuku,아마누마 유쿠,DKB,Japan
Harry-June,Han Harry-June,한해리준,DKB,South Korea
Nason,Kim Duyeop,김두엽,CHECKMATE,South Korea
Yongseok,Choi Yongseok,최용석,CHECKMATE,South Korea
Noah,Hwang Seundae,황승대 ,CHECKMATE,South Korea
J-Min,Jeon Minwook,전민욱,BAE173,South Korea
Yoojun,Jung Gun,정건,BAE173,South Korea
Muzin,Kim Hyunwoo,김현우,BAE173,South Korea
Junseo,Park Junseo,박준서,BAE173,South Korea
Youngseo,Ryu Youngseo,류영서,BAE173,South Korea
Doha,Na Gyumin,나규민,BAE173,South Korea
Bit,No Minjae,노민재,BAE173,South Korea
Shotaro,Osaki Shotaro,오사키 쇼타로,RIIZE,Japan
Sungchan,Jung Sungchan,정성찬,RIIZE,South Korea
Noah,Song Yubin,송유빈,T1419,South Korea
Sian,Choi Changmin,최창민 ,T1419,South Korea
Kevin,Baek Seungbin,백승빈,T1419,South Korea
Gunwoo,Kim Gunwoo,김건우,T1419,South Korea
Leo,Hayase Leo,하야세 레오,T1419,Japan
On,Choi Juhwan,최주환,T1419,South Korea
