Stage_Name, Full_Name, Korean_Name, Group, Country
Jinsik,Han Jinsik,함진식,xikers,South Korea
Hyunwoo,Choi Hyunwoo,최현우,xikers,South Korea
Junghoon,Kim Junghoon,김정훈,xikers,South Korea
Seeun,Park Seeun,박세은,xikers,South Korea
Hunter,Papungkorn Lertkiatdamrong,빠팡콘 륵키앗둠롱,xikers,Thailand
Yujun,Jung Yujun,정유준,xikers,South Korea
Yechan,Lee Yechan,이예찬,xikers,South Korea
Byunghoon,Choi Byunghoon,최병훈,CMDM,South Korea
Hyunhah,Kim Hyunhah,김현하,CMDM,South Korea
Junhyoung,Oh Junhyoung,오준형,CMDM,South Korea
Heeju,Chae Heeju,채희주,CMDM,South Korea
Nohyul,Lee Nohyul,이노율,CMDM,South Korea
Seungho,Kim Seungho,김승호,CMDM,South Korea
Jiwoong,Kim Jiwoong,김지웅,ZEROBASEONE,South Korea
Gyuvin,Kim Gyuvin,김규빈,ZEROBASEONE,South Korea
Taerae,Kim Taerae,김태래,ZEROBASEONE,South Korea
Gunwook,Park Gunwook,박건욱,ZEROBASEONE,South Korea
Ricky,Shen Quanrui,션취안루이,ZEROBASEONE,China
Matthew,Seok Matthew,석매튜,ZEROBASEONE,Canada
Hanbin,Sung Hanbin,성한빈,ZEROBASEONE,South Korea
Zhang Hao,Zhang Hao,장하오,ZEROBASEONE,China
Yujin,Han Yujin,한유진,ZEROBASEONE,South Korea
Gunil,Go Gunil,구건일,Xdinary Heroes,South Korea
Jungsu,Kim Jungsu,김정수,Xdinary Heroes,South Korea
Gaon,Kwak Jiseok,곽지석,Xdinary Heroes,South Korea
O.de,Oh Seungmin,오승민,Xdinary Heroes,South Korea
Jun Han,Han Hyeongjun,한형준,Xdinary Heroes,South Korea
Jooyeon,Lee Jooyeon,이주연,Xdinary Heroes,South Korea
Sungho,Park Sungho,박성호,BOYNEXTDOOR,South Korea
Riwoo,Lee Sanghyeok,이상혁,BOYNEXTDOOR,South Korea
Jaehyun,Myung Jaehyun,명재현,BOYNEXTDOOR,South Korea
Taesan,Han Dongmin,한동민,BOYNEXTDOOR,South Korea
Leehan,Kim Donghyun,김동현,BOYNEXTDOOR,South Korea
Woonhak,Kim Woonhak,김운학,BOYNEXTDOOR,South Korea
Jaewon,Shin Jaewon,신재원,,South Korea
Heesoo,Kim Heesoo,김희수,The Wind,South Korea
Thanatorn,Thanathorn Rueangsuwan,타나톤 루앙수완,The Wind,South Korea
Hanbin,Choi Hanbin,최한빈,The Wind,South Korea
Hayuchan,Park Hayuchan,박하유찬,The Wind,South Korea
Chanwon,An Chanwon,안찬원,The Wind,South Korea
Hyounjoon,Jang Hyounjoon,장현준,The Wind,South Korea
June,Lee Junyoung,이준영,BXB,South Korea
Jimin,Kim Jimin,김지민,HAWW,South Korea
Jeongeun,Park Jeongeun,박정근,HAWW,South Korea
Minyong,Kang Minyong,강민용,HAWW,South Korea
Chanyoung,Jung Chanyoung,정찬영,HAWW,South Korea
Louii,Park Seonghoon,박성훈,HAWW,South Korea
Juho,Yang Zuho,양주호,HAWW,South Korea
Seobin,Woo Seobin,우서빈,HAWW,South Korea
Hyunsik,Won Hyunsik,원현식,XODIAC,South Korea
Zayyan,Muhammad Rifki Fahri Zayyan,무하마드 리프키 파흐리 자얀,XODIAC,Indonesia
Lex,Zo Doohyun,조두현,XODIAC,South Korea
Beomsoo,Kim Beomsoo,김범수,XODIAC,South Korea
Gyumin,Kim Gyumin,김규민,XODIAC,South Korea
Wain,Park Sehoon,박세훈,XODIAC,South Korea
Sing,Mak Chun Sing,막준씽,XODIAC,Hong Kong
Davin,Kim Davin,김다빈,XODIAC,South Korea
Leo,,,XODIAC,Hong Kong
Keon,Kim Keon,김건,WEUS,South Korea
Chanwook,Yang Chanwook,양찬욱,WEUS,South Korea
Minhyuk,Yoon Minhyuk,윤민혁,WEUS,South Korea
Jeongmin,Woo Jeongmin,우정민,WEUS,South Korea
Jeongyoon,Woo Jeongyoon,우정윤,WEUS,South Korea
Boyul,Kwon Boyul,권보율,WEUS,South Korea
Hyukjin,Son Hyukjin,손혁진,WEUS,South Korea
Taehwan,Lee Taehwan,태환,VANNER,South Korea
Gon,Lee Wonseo,이원서,VANNER,South Korea
Hyesung,Park Hyeseong,박혜성,VANNER,South Korea
Ahxian,Park Sungkook,박성국,VANNER,South Korea
Yeonggwang,Ahn Youngjun,안영준,VANNER,South Korea
Shinyu,Shin Junghwan,신정환,TWS,South Korea
Dohoon,Kim Dohoon,김도훈,TWS,South Korea
Youngjae,Choi Youngjae,최영재,TWS,South Korea
Hanjin,Han Zhen,한쩐,TWS,China
Jihoon,Han Jihoon,한지훈,TWS,South Korea
Kyungmin,Lee Kyungmin,이경민,TWS,South Korea
Kamden,Kamden Winston Na,캠든 윈스턴 나,AMPERS&ONE,USA
Brian,Brian Ho,브라이언 호,AMPERS&ONE,Canada
Jiho,Choi Jiho,최지호,AMPERS&ONE,South Korea
Siyun,Yoon Siyun,윤시윤,AMPERS&ONE,South Korea
Kyrell,Kyrell Choi,카이렐 초이,AMPERS&ONE,USA
Mackiyah,Mackiah Yejun Mercer,마카야 예준 머서,AMPERS&ONE,Australia
Seungmo,Kim Seungmo,김승모,AMPERS&ONE,South Korea
Hanbin,Park Hanbin,박한빈,EVNNE,South Korea
Jeonghyeon,Lee Jeonghyeon,이정현,EVNNE,South Korea
Seungeon,Yoo Seungeon,유승언,EVNNE,South Korea
Yunseo,Ji Yunseo,지윤서,EVNNE,South Korea
Junghyun,Mun Junghyun,문정현,EVNNE,South Korea
Jihoo,Park Jihoo,박지후,EVNNE,South Korea
K-Soul,Liu Zekai,류저카이,FANTASY BOYS,China
Minseo,Kang Minseo,강민서,FANTASY BOYS,South Korea
Hanbin,Lee Hanbin,이한빈,FANTASY BOYS,South Korea
Hikari,Etani Hikari,에타니 히카리,FANTASY BOYS,Japan
Ling Qi,Ling Qi,링치,FANTASY BOYS,China
Hikaru,Urabe Hikaru,우라베 히카루,FANTASY BOYS,Japan
Wooseok,Kim Wooseok,김우석,FANTASY BOYS,South Korea
Sungmin,Hong Sungmin,홍성민,FANTASY BOYS,South Korea
Hyeontae,Oh Hyeontae,오현태,FANTASY BOYS,South Korea
Gyurae,Kim Gyurae,김규래,FANTASY BOYS,South Korea
Kaedan,Kaedan Keonwoo Nam,케이단 건우 남,FANTASY BOYS,South Korea
Jinsu,Park Jinsu,박진수,LUN8,South Korea
Chael,Lim Junyeop,임준엽,LUN8,South Korea
Takuma,Sato Takuma,사토 타쿠마,LUN8,South Korea
Junwoo,Sim Junwoo,심준우,LUN8,South Korea
Dohyun,Park Dohyun,박도현,LUN8,South Korea
Ian,Ro Sungchul,노성철,LUN8,South Korea
Ji Eunho,Lee Sangmin,이상민,LUN8,South Korea
Eunseop,Kim Eunseop,김은섭,LUN8,South Korea
Eunseok,Song Eunseok,송은석,RIIZE,South Korea
Wonbin,Park Wonbin,박원빈,RIIZE,South Korea
Seunghan,Hong Seunghan,홍승한,RIIZE,South Korea
Sohee,Lee Sohee,이소희,RIIZE,South Korea
Anton,Anton Chanyoung Lee,앤톤 찬영 리,RIIZE,USA
Seita,,,DXMON,Japan
Minjae,Baek Minjae,백민재,DXMON,South Korea
Hee,Shin Youngseo,신용서,DXMON,South Korea
TK,Kim Taegeuk,김태극,DXMON,South Korea
Rex,Kim Minjun,김민준,DXMON,South Korea
Jo,,,DXMON,South Korea
Jongwoo,Yoon Jongwoo,윤종우,ONE PACT,South Korea
Jay Chang,Jay Steven Kapossy,제이 스티븐 커포시,ONE PACT,USA
Yedam,Lee Yedam,이예담,ONE PACT,South Korea
Yorch,Yongsin Wongpanitnont,용신 웡파닛논,POW,Thailand
Hyunbin,Koo Hyunbin,구현빈,POW,South Korea
Jungbin,Lim Jungbin,임정빈,POW,South Korea
Dongyeon,Justin Lajo,저스틴 라조,POW,Philippines
Hong,Kim Hong,김홍,POW,South Korea
Haseung,Lee Taewoo,이태우,WHIB,South Korea
Jinbeom,Park Jinbeom,박진범,WHIB,South Korea
Jayder,Kim Junbmin,김준민,WHIB,South Korea
UGeon,Yoo Seungyong,유승용,WHIB,South Korea
Leejeong,Jeon Leejeong,정이정,WHIB,South Korea
Jaeha,Lee Jaehyun,김재현,WHIB,South Korea
Inhong,Lee Inhong,이인홍,WHIB,South Korea
Wonjun,Moon Wonjun,문원준,WHIB,South Korea
